Crops,Area,Production,Year(BS),Year(AD),Crop Type
Paddy,1469545,5151925,2074/75,(2017/18),Cereal Crops
Maize,954158,2555847,2074/75,(2017/18),Cereal Crops
Wheat,706843,1949001,2074/75,(2017/18),Cereal Crops
Millet,263497,313987,2074/75,(2017/18),Cereal Crops
Buckwheat,10296,11472,2074/75,(2017/18),Cereal Crops
Barley,24648,30510,2074/75,(2017/18),Cereal Crops
Paddy,1491744,5610011,2075/76,(2018/19),Cereal Crops
Maize,956447,2713635,2075/76,(2018/19),Cereal Crops
Wheat,703992,2005665,2075/76,(2018/19),Cereal Crops
Millet,263261,314225,2075/76,(2018/19),Cereal Crops
Buckwheat,10311,11464,2075/76,(2018/19),Cereal Crops
Barley,24409,30550,2075/76,(2018/19),Cereal Crops
Paddy,1458915,5550878,2076/77,(2019/20),Cereal Crops
Maize,957650,2835674,2076/77,(2019/20),Cereal Crops
Wheat,707505,2185289,2076/77,(2019/20),Cereal Crops
Millet,262547,320953,2076/77,(2019/20),Cereal Crops
Buckwheat,10369,11724,2076/77,(2019/20),Cereal Crops
Barley,24404,31147,2076/77,(2019/20),Cereal Crops
OILSEEDS,224595,245867,2074/75,(2017/18),Cash Crops
POTATO,195173,2881829,2074/75,(2017/18),Cash Crops
SUGARCANE,78609,3679508,2074/75,(2017/18),Cash Crops
JUTE,7507,11159,2074/75,(2017/18),Cash Crops
COTTON,120,125,2074/75,(2017/18),Cash Crops
OILSEEDS,260307,280530,2075/76,(2018/19),Cash Crops
POTATO,193997,3112947,2075/76,(2018/19),Cash Crops
SUGARCANE,71625,3557934,2075/76,(2018/19),Cash Crops
JUTE,7285,10585,2075/76,(2018/19),Cash Crops
COTTON,97,99,2075/76,(2018/19),Cash Crops
OILSEEDS,258141,278325,2076/77,(2019/20),Cash Crops
POTATO,188098,3131830,2076/77,(2019/20),Cash Crops
SUGARCANE,68565,3400176,2076/77,(2019/20),Cash Crops
JUTE,7555,10165,2076/77,(2019/20),Cash Crops
COTTON,135,140,2076/77,(2019/20),Cash Crops
LENTIL,198605,249491,2074/75,(2017/18),PULSES
CHICKPEA,9882,11271,2074/75,(2017/18),PULSES
PIGEON PEA,16428,16211,2074/75,(2017/18),PULSES
BLACK GRAM,24305,20839,2074/75,(2017/18),PULSES
GRASS GRAM,7757,9187,2074/75,(2017/18),PULSES
HORSE GRAM,6205,5664,2074/75,(2017/18),PULSES
SOYABEAN,21897,27681,2074/75,(2017/18),PULSES
OTHERS,26303,28397,2074/75,(2017/18),PULSES
LENTIL,208766,251185,2075/76,(2018/19),PULSES
CHICKPEA,9653,10675,2075/76,(2018/19),PULSES
PIGEON PEA,16753,16538,2075/76,(2018/19),PULSES
BLACK GRAM,23492,19928,2075/76,(2018/19),PULSES
GRASS GRAM,7952,9329,2075/76,(2018/19),PULSES
HORSE GRAM,6119,5754,2075/76,(2018/19),PULSES
SOYABEAN,25179,31567,2075/76,(2018/19),PULSES
OTHERS,33826,37011,2075/76,(2018/19),PULSES
LENTIL,212876,262835,2076/77,(2019/20),PULSES
CHICKPEA,9982,11285,2076/77,(2019/20),PULSES
PIGEON PEA,16895,17063,2076/77,(2019/20),PULSES
BLACK GRAM,23056,20440,2076/77,(2019/20),PULSES
GRASS GRAM,7997,9504,2076/77,(2019/20),PULSES
HORSE GRAM,6326,6865,2076/77,(2019/20),PULSES
SOYABEAN,26775,34544,2076/77,(2019/20),PULSES
OTHERS,36784,41672,2076/77,(2019/20),PULSES
FRUITS (PRODUCTIVE AREA),111744,1086931,2074/75,(2017/18),OTHER CROPS
VEGETABLES,286864,3958230,2074/75,(2017/18),OTHER CROPS
TEA,28595,24804,2074/75,(2017/18),OTHER CROPS
COFFEE,2650,513,2074/75,(2017/18),OTHER CROPS
LARGE CARDAMOM (PRODUCTIVE AREA),12769,6849,2074/75,(2017/18),OTHER CROPS
GINGER,23000,284000,2074/75,(2017/18),OTHER CROPS
GARLIC,8500,59500,2074/75,(2017/18),OTHER CROPS
TURMERIC,7300,71500,2074/75,(2017/18),OTHER CROPS
CHILI,10500,52500,2074/75,(2017/18),OTHER CROPS
SILK WORM,1421,30,2074/75,(2017/18),OTHER CROPS
HONEY(NO. OF HIVES),242000,3980,2074/75,(2017/18),OTHER CROPS
FISH (TOTAL),,86544,2074/75,(2017/18),OTHER CROPS
MUSHROOM FRESH,,10500,2074/75,(2017/18),OTHER CROPS
FRUITS (PRODUCTIVE AREA),120028,1178352,2075/76,(2018/19),OTHER CROPS
VEGETABLES,297195,4271270,2075/76,(2018/19),OTHER CROPS
TEA,28732,25206,2075/76,(2018/19),OTHER CROPS
COFFEE,2761,530,2075/76,(2018/19),OTHER CROPS
LARGE CARDAMOM (PRODUCTIVE AREA),15055,7954,2075/76,(2018/19),OTHER CROPS
GINGER,22132,284427,2075/76,(2018/19),OTHER CROPS
GARLIC,10107,71902,2075/76,(2018/19),OTHER CROPS
TURMERIC,10160,98904,2075/76,(2018/19),OTHER CROPS
CHILI,10692,67167,2075/76,(2018/19),OTHER CROPS
SILK WORM,1457,32,2075/76,(2018/19),OTHER CROPS
HONEY(NO. OF HIVES),242500,3990,2075/76,(2018/19),OTHER CROPS
FISH (TOTAL),,91832,2075/76,(2018/19),OTHER CROPS
MUSHROOM FRESH,,11255,2075/76,(2018/19),OTHER CROPS
FRUITS (PRODUCTIVE AREA),119025,1249764,2076/77,(2019/20),OTHER CROPS
VEGETABLES,281132,3962383,2076/77,(2019/20),OTHER CROPS
TEA,16901,24118,2076/77,(2019/20),OTHER CROPS
COFFEE,2355,297,2076/77,(2019/20),OTHER CROPS
LARGE CARDAMOM (PRODUCTIVE AREA),16565,9545,2076/77,(2019/20),OTHER CROPS
GINGER,23500,298945,2076/77,(2019/20),OTHER CROPS
GARLIC,10185,73859,2076/77,(2019/20),OTHER CROPS
TURMERIC,9795,99907,2076/77,(2019/20),OTHER CROPS
CHILI,10276,68025,2076/77,(2019/20),OTHER CROPS
SILK WORM,1505,35,2076/77,(2019/20),OTHER CROPS
HONEY(NO. OF HIVES),248037,3997,2076/77,(2019/20),OTHER CROPS
FISH (TOTAL),,97271,2076/77,(2019/20),OTHER CROPS
MUSHROOM FRESH,,12607,2076/77,(2019/20),OTHER CROPS
